"title","subtitle","authors","categories","thumbnail","description","published_year","average_rating","num_pages","short_descript"
"John James Audubon","The Making of an American","Richard Rhodes","Art","http://books.google.com/books/content?id=4j2FDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","A biography of artist John James Audubon offers a study of his private life, detailing his arrival in America from France in 1803, his life in frontier Kentucky, and his extraordinary images of native American wildlife.","2006","4.14","528","A biography of artist John James Audubon offers a study of his private life, detailing his arrival in America from France in 1803, his life in frontier Kentucky, and his extraordinary images of native"
"The Seven Habits of Highly Effective People","Restoring the Character Ethic","Stephen R. Covey","Business & Economics","http://books.google.com/books/content?id=4JAUkUM-EYUC&printsec=frontcover&img=1&zoom=1&source=gbs_api","A presentation of a holistic, integrated, principle-centered approach for solving personal and professional problems.","1990","4.09","368","A presentation of a holistic, integrated, principle-centered approach for solving personal and professional problems."
"Silver Nights","","Jane Feather","Fiction","http://books.google.com/books/content?id=4JbTRtjo7C4C&printsec=frontcover&img=1&zoom=1&source=gbs_api","An Arranged Marriage Free-spirited Sophia is a tempestuous heiresscapable of turning heads and breaking hearts. Orderedinto a loveless marriage that could bring her even greater riches, Sophia accepts her fate-until she sets her eyes on Adam, the virile nobleman who is to escort her to her future husband's estate. Adam is immediately captivated by Sophia'sheated sensuality, which sears through his cool reserve and makes him forget his duty. As for Sophia,she is powerless to resist his intense masculinity andair of mystery. Rebelling against her impending marriage, Sophia willfully surrenders herself body and soul to Adam's intense passion...only to discover that the price of forbidden love could be her life. Free-spirited Sophia is a tempestuous heiress capable of turning heads and breaking hearts. Ordered into a loveless marriage that could bring her even greater riches, Sophia accepts her fate -- until she sets her eyes on Adam, the virile nobleman who is to escort her to her future husband's estate. Adam is immediately captivated by Sophia's heated sensuality, which sears through his cool reserve and makes him forget his duty. As for Sophia, she is powerless to resist his intense masculinity and air of mystery. Rebelling against her impending marriage, Sophia willfully surrenders herself body and soul to Adam's intense passion...only to discover that the price of forbidden love could be her life.","2001","3.53","352","An Arranged Marriage Free-spirited Sophia is a tempestuous heiresscapable of turning heads and breaking hearts. Orderedinto a loveless marriage that could bring her even greater riches, Sophia accepts"
"Original Sin","Illuminating the Riddle","Henri Blocher","Religion","http://books.google.com/books/content?id=4Kf5hy8g9ckC&printsec=frontcover&img=1&zoom=1&source=gbs_api","In this New Studies in Biblical Theology volume, Henri Blocher offers a philosophically sophisticated treatment of the biblical evidence for original sin, interacting with the best theological thinking on the subject and showing that while the nature of original sin is a mystery only belief in it makes sense of evil and wrongdoing.","2000","3.67","158","In this New Studies in Biblical Theology volume, Henri Blocher offers a philosophically sophisticated treatment of the biblical evidence for original sin, interacting with the best theological thinkin"
"The Bonesetter's Daughter","","Amy Tan","China","http://books.google.com/books/content?id=4KHT6mIMDt4C&printsec=frontcover&img=1&zoom=1&source=gbs_api","Tells the story of three generations of Chinese women, beginning at the turn of the century.","2001","3.98","352","Tells the story of three generations of Chinese women, beginning at the turn of the century."
"Xanth 15: The Color of Her Panties","","Piers Anthony;Piers A. Jacob","Fiction","http://books.google.com/books/content?id=4LaUaPoHbpoC&printsec=frontcover&img=1&zoom=1&source=gbs_api","We See England, We See Xanth, We See Mels's Underpanth In fact, Gwenny Goblin, Che Centaur and Jenny Elf are just about the only creatures on Xanth who have been spared the sight of Mela Merwoman's undergarment -- preoccupied as they are with helping Gwenny beat out her awful half-brother Gobble for chiefship of the goblin horde. But first they must master space and thyme . . . and find the fabulous egg that sits between the Roc and the hard place. While Mela -- who would gladly relinquish her oft-viewed undies for a new husband -- joins the Adult Conspiracy . . . and quickly discovers the power of a perfect pair of panties!","1992","3.67","342","We See England, We See Xanth, We See Mels's Underpanth In fact, Gwenny Goblin, Che Centaur and Jenny Elf are just about the only creatures on Xanth who have been spared the sight of Mela Merwoman's un"
"No One is Illegal","Fighting Violence and State Repression on the U.S.-Mexico Border","Justin Akers ChacÃ³n;Mike Davis;JuliÃ¡n Cardona","History","http://books.google.com/books/content?id=4LfbAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","Countering the chorus of anti-immigrant voices, Mike Davis and Justin Akers Chacon expose the racism of anti-immigration vigilantes and put a human face on the immigrants who risk their lives to cross the border to work in the United States. |A rare combination of an author, Mike Davis is Rachel Carson and Upton Sinclair all in one.| - Susan Faludi |Davis' writing is perceptive and rigorous.| - David Montgomery, The Nation","2006","4.07","240","Countering the chorus of anti-immigrant voices, Mike Davis and Justin Akers Chacon expose the racism of anti-immigration vigilantes and put a human face on the immigrants who risk their lives to cross"
"Sodom and Gomorrah","","Marcel Proust","Fiction","http://books.google.com/books/content?id=4lmMxgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","A revised translation of the final volume in Proust's ""In Search of Lost Time"" series","1992","4.36","784","A revised translation of the final volume in Proust's ""In Search of Lost Time"" series"
"De officiis","C. Philosophical Treatises","Marcus Tullius Cicero;Walter Miller","Fiction","http://books.google.com/books/content?id=4lN0AAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Cicero (Marcus Tullius, 106â€“43 BCE), Roman lawyer, orator, politician and philosopher, of whom we know more than of any other Roman, lived through the stirring era which saw the rise, dictatorship, and death of Julius Caesar in a tottering republic. In his political speeches especially and in his correspondence we see the excitement, tension and intrigue of politics and the part he played in the turmoil of the time. Of about 106 speeches, delivered before the Roman people or the Senate if they were political, before jurors if judicial, 58 survive (a few of them incompletely). In the fourteenth century Petrarch and other Italian humanists discovered manuscripts containing more than 900 letters of which more than 800 were written by Cicero and nearly 100 by others to him. These afford a revelation of the man all the more striking because most were not written for publication. Six rhetorical works survive and another in fragments. Philosophical works include seven extant major compositions and a number of others; and some lost. There is also poetry, some original, some as translations from the Greek. The Loeb Classical Library edition of Cicero is in twenty-nine volumes.","1975","3.95","448","Cicero (Marcus Tullius, 106â€“43 BCE), Roman lawyer, orator, politician and philosopher, of whom we know more than of any other Roman, lived through the stirring era which saw the rise, dictatorship, "
"Iron Kingdom","The Rise and Downfall of Prussia, 1600-1947","Christopher M. Clark;University Christopher Clark, MD","History","http://books.google.com/books/content?id=4LPODzLgDVEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","In the aftermath of World War II, Prussia--a centuries-old state pivotal to Europe's development--ceased to exist. In their eagerness to erase all traces of the Third Reich from the earth, the Allies believed that Prussia, the very embodiment of German militarism, had to be abolished. But as Christopher Clark reveals in this pioneering history, Prussia's legacy is far more complex. Though now a fading memory in Europe's heartland, the true story of Prussia offers a remarkable glimpse into the dynamic rise of modern Europe. What we find is a kingdom that existed nearly half a millennium ago as a patchwork of territorial fragments, with neither significant resources nor a coherent culture. With its capital in Berlin, Prussia grew from being a small, poor, disregarded medieval state into one of the most vigorous and powerful nations in Europe. Iron Kingdom traces Prussia's involvement in the continent's foundational religious and political conflagrations: from the devastations of the Thirty Years War through centuries of political machinations to the dissolution of the Holy Roman Empire, from the enlightenment of Frederick the Great to the destructive conquests of Napoleon, and from the ""iron and blood"" policies of Bismarck to the creation of the German Empire in 1871, and all that implied for the tumultuous twentieth century. By 1947, Prussia was deemed an intolerable threat to the safety of Europe; what is often forgotten, Clark argues, is that it had also been an exemplar of the European humanistic tradition, boasting a formidable government administration, an incorruptible civil service, and religious tolerance. Clark demonstrates how a state deemed the bane of twentieth-century Europe has played an incalculable role in Western civilization's fortunes. Iron Kingdom is a definitive, gripping account of Prussia's fascinating, influential, and critical role in modern times.","2006","4.14","776","In the aftermath of World War II, Prussia--a centuries-old state pivotal to Europe's development--ceased to exist. In their eagerness to erase all traces of the Third Reich from the earth, the Allies "
"The Ultimate Hitchhiker's Guide to the Galaxy","","Douglas Adams","Fiction","http://books.google.com/books/content?id=4m0Qj9xKksYC&printsec=frontcover&img=1&zoom=1&source=gbs_api","In this collection of novels, Arthur Dent is introduced to the galaxy at large when he is rescued by an alien friend seconds before Earth's destruction, and embarks on a series of amazing adventures with his new companion.","2002","4.38","815","In this collection of novels, Arthur Dent is introduced to the galaxy at large when he is rescued by an alien friend seconds before Earth's destruction, and embarks on a series of amazing adventures w"
"Beatrice's Goat","","Page McBrier","Juvenile Nonfiction","http://books.google.com/books/content?id=4MNEDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","In this story based on a case from Project Heifer, a young girl's dream of attending school in her small Ugandan village is fulfilled after her family is given an income-producing goat.","2004","4.24","40","In this story based on a case from Project Heifer, a young girl's dream of attending school in her small Ugandan village is fulfilled after her family is given an income-producing goat."
"The Complete Short Stories of H.G. Wells","","Herbert George Wells;John R. Hammond","Fiction","http://books.google.com/books/content?id=4mS4SAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","One of the founding-fathers of science fiction, it is in his short stories that Wells first explored the enormous potential of the scientific discoveries of his age. In this first ever complete collection of his stories, 84 minor miracles of the storyteller's art remind us of the relevance of this greatest of modern dreamers.","2000","4.14","864","One of the founding-fathers of science fiction, it is in his short stories that Wells first explored the enormous potential of the scientific discoveries of his age. In this first ever complete collec"
"Leonardo's Swans","","Karen Essex","Fiction","http://books.google.com/books/content?id=4N8mfyt515IC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Born into wealth amid the political and artistic foment of the Italian Renaissance, worldly and ambitious Isabella and naÃ¯ve Beatrice Este, sisters and rivals, compete for the attentions of Ludovico Sforza, the Duke of Milan--even though he marries Beatrice--and must choose between family loyalty and survival amid the treachery of a dangerous era. Reprint. 30,000 first printing.","2007","3.71","351","Born into wealth amid the political and artistic foment of the Italian Renaissance, worldly and ambitious Isabella and naÃ¯ve Beatrice Este, sisters and rivals, compete for the attentions of Ludovico "
"From Bondage","Volume III of Mercy of a Rude Stream","Henry Roth","Fiction","http://books.google.com/books/content?id=4oDRkC5XMNwC&printsec=frontcover&img=1&zoom=1&source=gbs_api","An old Jew looks back on his climb from the slums of New York into the rarefied world of wealth and intellect. He describes a romance with his college professor. By the author of A Diving Rock on the Hudson.","1997","4.1","420","An old Jew looks back on his climb from the slums of New York into the rarefied world of wealth and intellect. He describes a romance with his college professor. By the author of A Diving Rock on the "
"And I Don't Want to Live this Life","","Deborah Spungen","Biography & Autobiography","http://books.google.com/books/content?id=4OkkAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","For most of us, it was just another horrible headline. But for Deborah Spungen, the mother of Nancy, who was stabbed to death at the Chelsea Hotel, it was both a relief and a tragedy. Here is the incredible story of an infant who never stopped screaming, a toddler who attacked people, a teenager addicted to drugs, violence, and easy sex, a daughter completely out of control--who almost destroyed her parents' marriage and the happiness of the rest of her family. ""Honest and moving...Her painful tale is engrossing."" WASHINGTON POST BOOK WORLD From the Paperback edition.","1996","4.09","408","For most of us, it was just another horrible headline. But for Deborah Spungen, the mother of Nancy, who was stabbed to death at the Chelsea Hotel, it was both a relief and a tragedy. Here is the incr"
"Crazy Hot","","Melissa de la Cruz","Juvenile Fiction","http://books.google.com/books/content?id=4oLf1WnMxGMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","Eliza, Jacqui, and Mara are just beginning their new careers, but find themselves all together in the Hamptons once again since Eliza's new stepmother needs a nanny.","2007","3.94","271","Eliza, Jacqui, and Mara are just beginning their new careers, but find themselves all together in the Hamptons once again since Eliza's new stepmother needs a nanny."
"The Gap Into Madness","Chaos and Order","Stephen R. Donaldson","Hyland, Morn (Fictitious character)","http://books.google.com/books/content?id=4oXavLNDWocC&printsec=frontcover&img=1&zoom=1&source=gbs_api","A new-cover reissue of the fourth book in the bestselling five-volume sf series created by the world-famous author of the Thomas Covenant chronicles -- and acclaimed as the 'best work of his career'. Events were not moving as the Amnion had intended. Once again humans had been false in their dealings with the aliens. As the planetoid Thanatos Minor exploded into atoms, the Trumpet hurtled into space only one step ahead of hostile pursuers. On board were Morn Hyland and her force-grown son Davies, cyborg Angus Thermopyle and Captain Nick Succorso -- old enemies thrown together in a desperate bid for survival. For both the Amnion and the UMCP, the immediate capture of the fleeing ship and the secrets it contained was imperative. But for Trumpet's exhausted crew the only hope lay in an illegal lab in the distant binary solar system of Valdor Industrial. It would be a journey of unpredictable danger -- from which not all would return...","1994","4.15","743","A new-cover reissue of the fourth book in the bestselling five-volume sf series created by the world-famous author of the Thomas Covenant chronicles -- and acclaimed as the 'best work of his career'. "
"Alexander Hamilton","","Ron Chernow","Biography & Autobiography","http://books.google.com/books/content?id=4PeiDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","The personal life of Alexander Hamilton, an illegitimate, largely self-taught orphan from the Caribbean who rose to become George Washington's aide-de-camp and the first Treasury Secretary of the United States, is captured in a definitive biography by the National Book Award-winning author of The House of Morgan. Reprint.","2004","4.24","818","The personal life of Alexander Hamilton, an illegitimate, largely self-taught orphan from the Caribbean who rose to become George Washington's aide-de-camp and the first Treasury Secretary of the Unit"
"H.G. Wells' Floor Games","A Father's Account of Play and Its Legacy of Healing","H. G. Wells;Barbara A. Turner","Games & Activities","http://books.google.com/books/content?id=4PglfbMD1awC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Suggests some of the games that can be created using toy soldiers and other figurines, blocks, boards and planks, and toy trains arranged in various ways on an appropriate floor. New postscript offers biographical sketches of Wells, Margaret Lowenfeld, and Dora M. Kalff, and describes how Wells' book inspired the development of sandplay therapy.","2004","3.41","110","Suggests some of the games that can be created using toy soldiers and other figurines, blocks, boards and planks, and toy trains arranged in various ways on an appropriate floor. New postscript offers"
"Hiero","Agesilaus ; Constitution of the Lacedaemonians ; Ways and Means ; Cavalry Commander ; Art of Horsemanship ; On Hunting ; Constitution of the Athenians","Xenophon","Electronic books","http://books.google.com/books/content?id=4Q0IAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Minor works by Xenophon (c. 430-c. 354 BCE) include Hiero, a dialogue on government; Agesilaus, in praise of that king; Constitution of Lacedaemon, on the Spartan system; Ways and Means, on the finances of Athens; a manual of Horsemanship. The Constitution of the Athenians, though not by Xenophon, is an interesting document on Athenian politics. Xenophon (ca. 430 to ca. 354 BCE) was a wealthy Athenian and friend of Socrates. He left Athens in 401 and joined an expedition including ten thousand Greeks led by the Persian governor Cyrus against the Persian king. After the defeat of Cyrus, it fell to Xenophon to lead the Greeks from the gates of Babylon back to the coast through inhospitable lands. Later he wrote the famous vivid account of this ""March Up-Country"" (Anabasis); but meanwhile he entered service under the Spartans against the Persian king, married happily, and joined the staff of the Spartan king, Agesilaus. But Athens was at war with Sparta in 394 and so exiled Xenophon. The Spartans gave him an estate near Elis where he lived for years writing and hunting and educating his sons. Reconciled to Sparta, Athens restored Xenophon to honour but he preferred to retire to Corinth. Xenophon's Anabasis is a true story of remarkable adventures. Hellenica, a history of Greek affairs from 411 to 362, begins as a continuation of Thucydides' account. There are four works on Socrates (collected in Volume IV of the Loeb Xenophon edition). In Memorabilia Xenophon adds to Plato's picture of Socrates from a different viewpoint. The Apology is an interesting complement to Plato's account of Socrates' defense at his trial. Xenophon's Symposium portrays a dinner party at which Socrates speaks of love; and Oeconomicus has him giving advice on household management and married life. Cyropaedia, a historical romance on the education of Cyrus (the Elder), reflects Xenophon's ideas about rulers and government; the Loeb edition is in two volumes. We also have his Hiero, a dialogue on government; Agesilaus, in praise of that king; Constitution of Lacedaemon (on the Spartan system); Ways and Means (on the finances of Athens); Manual for a Cavalry Commander; a good manual of Horsemanship; and a lively Hunting with Hounds. The Constitution of the Athenians, though clearly not by Xenophon, is an interesting document on politics at Athens. These eight books are collected in the last of the seven volumes of the Loeb Classical Library edition of Xenophon.","1925","3.94","576","Minor works by Xenophon (c. 430-c. 354 BCE) include Hiero, a dialogue on government; Agesilaus, in praise of that king; Constitution of Lacedaemon, on the Spartan system; Ways and Means, on the financ"
"The Birth of Tragedy and The Genealogy of Morals","","Friedrich Wilhelm Nietzsche","Philosophy","http://books.google.com/books/content?id=4Q8lWXlzpdgC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Skillful, sophisticated translations of two of Nietzsche's essential works about the conflict between the moral and aesthetic approaches to life, the impact of Christianity on human values, the meaning of science, the contrast between the Apollonian and Dionysian spirits, and other themes central to his thinking.","1956","4","320","Skillful, sophisticated translations of two of Nietzsche's essential works about the conflict between the moral and aesthetic approaches to life, the impact of Christianity on human values, the meanin"
"The Chronicles of Narnia Movie Tie-in Edition (adult)","","C. S. Lewis","Fiction","http://books.google.com/books/content?id=4qVxvQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","When Digory and Polly try to return the wicked witch Jadis to her own world, the magic gets mixed up and they all land in Narnia where they witness Aslan blessing the animals with human speech.","2005","4.26","766","When Digory and Polly try to return the wicked witch Jadis to her own world, the magic gets mixed up and they all land in Narnia where they witness Aslan blessing the animals with human speech."
"Purple Cane Road","","James Lee Burke","Fiction","http://books.google.com/books/content?id=4QXE20ORx2gC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Haunted by the mother he never knew, Dave Robicheaux is stunned when a chance meeting reveals that his mother was murdered by a New Orleans police officer, a discovery that has him searching for the killer.","2001","4.15","387","Haunted by the mother he never knew, Dave Robicheaux is stunned when a chance meeting reveals that his mother was murdered by a New Orleans police officer, a discovery that has him searching for the k"
"The Handmaid's Tale","","Margaret Atwood","Fiction","http://books.google.com/books/content?id=4QXnYRaBUFAC&printsec=frontcover&img=1&zoom=1&source=gbs_api","A chilling look at the near future presents the story of Offred, a Handmaid in the Republic of Gilead, once the United States, an oppressive world where women are no longer allowed to read and are valued only as long as they are viable for reproduction. Reissue.","1998","4.09","344","A chilling look at the near future presents the story of Offred, a Handmaid in the Republic of Gilead, once the United States, an oppressive world where women are no longer allowed to read and are val"
"Swann's Way","","Marcel Proust","Fiction","http://books.google.com/books/content?id=4QyKv5OkFnMC&printsec=frontcover&img=1&zoom=1&source=gbs_api","The narrator interrupts reminiscences about his childhood spent in the late-nineteenth-century France to recall the affair which a friend of the family carries on with young Odette de Crecy.","1992","4.14","640","The narrator interrupts reminiscences about his childhood spent in the late-nineteenth-century France to recall the affair which a friend of the family carries on with young Odette de Crecy."
"Hamlet","","William Shakespeare","Drama","http://books.google.com/books/content?id=4RbYuQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Hamlet, Prince of Denmark is faced by a ghost bearing a grim message of murder and revenge, driving the prince to the edge of madness by his struggle to understand the situation and to do his duty.","2001","4.01","148","Hamlet, Prince of Denmark is faced by a ghost bearing a grim message of murder and revenge, driving the prince to the edge of madness by his struggle to understand the situation and to do his duty."
"James and the Giant Peach","","Roald Dahl;Quentin Blake","Adventure stories","http://books.google.com/books/content?id=4RFjQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","James's aunts call him names, beat and starve him and make his life a misery. If only his parents hadn't been eaten by an escaped rhinoceros, he wouldn't be in this mess. But one day he meets a man who gives him a bag of magic crocodile tongues and so begins the adventure of his dreams.","2001","4","160","James's aunts call him names, beat and starve him and make his life a misery. If only his parents hadn't been eaten by an escaped rhinoceros, he wouldn't be in this mess. But one day he meets a man wh"
"Pleasing Myself","From Beowulf to Philip Roth","Frank Kermode","American literature","http://books.google.com/books/content?id=4rKpPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Frank Kermode has often said that much of his best work has been done at shorter length, in the essays he has written on a very wide range of subjects for literary journals of one kind or another. This volume brings together a selection of these pieces that have been written since the 1990s, on topics as diverse as Donne, Yeats, Howard Hodgkin, gnosticism, the sea and money, as well as futher thoughts on Shakespeare.","2002","3.71","278","Frank Kermode has often said that much of his best work has been done at shorter length, in the essays he has written on a very wide range of subjects for literary journals of one kind or another. Thi"
"Courtesans and Fishcakes","The Consuming Passions of Classical Athens","James Davidson","History","http://books.google.com/books/content?id=4rycPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","This fascinating reappraisal by a rising young scholar takes readers inside a Classical Athens that--contrary to conventional history--savored its pleasures as much as anyone.","1999","3.93","416","This fascinating reappraisal by a rising young scholar takes readers inside a Classical Athens that--contrary to conventional history--savored its pleasures as much as anyone."
"Origins of the Modern Mind","Three Stages in the Evolution of Culture and Cognition","Merlin Donald","Medical","http://books.google.com/books/content?id=4Sk4vWkrUAgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","This bold and brilliant book asks the ultimate question of life sciences: How did the human mind acquire its incomparable power? Origins of the Modern Mind traces the evolution of human culture and cognition from primitive apes to the era of artificial intelligence, and presents an original theory of how the human mind evolved from its presymbolic form. Illustrated with line drawings.","1991","4.17","424","This bold and brilliant book asks the ultimate question of life sciences: How did the human mind acquire its incomparable power? Origins of the Modern Mind traces the evolution of human culture and co"
"Europe","A History","Norman Davies","History","http://books.google.com/books/content?id=4StZDvPCcJEC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Here is a masterpiece of historical narrative that stretches from the Ice Age to the Atomic Age, as it tells the story of Europe, East and West. Norman Davies captures it all-the rise and fall of Rome, the sweeping invasions of Alaric and Atilla, the Norman Conquests, the Papal struggles for power, the Renaissance and the Reformation, the French Revolution and the Napoleonic Wars, Europe's rise to become the powerhouse of the world, and its eclipse in our own century, following two devastating World Wars. This is the first major history of Europe to give equal weight to both East and West, and it shines light on fascinating minority communities, from heretics and lepers to Gypsies, Jews, and Muslims. It also takes an innovative approach, combining traditional narrative with unique features that help bring history alive: 299 time capsules scattered through the narrative capture telling aspects of an era. 12 -snapshots offer a panoramic look at all of Europe at a particular moment in history. Full coverage of Eastern Europeâ€”100 maps and diagrams, 72 black-and-white plates.All told, Daviesâ€™'s Europe represents one of the most important and illuminating histories to be published in recent years.","1998","4.17","1392","Here is a masterpiece of historical narrative that stretches from the Ice Age to the Atomic Age, as it tells the story of Europe, East and West. Norman Davies captures it all-the rise and fall of Rome"
"Bluebeard","","Kurt Vonnegut","Fiction","http://books.google.com/books/content?id=4SZY-ylikTIC&printsec=frontcover&img=1&zoom=1&source=gbs_api","An autobiography of Rabo Karabekian, an abstract expressionist artist, who acquired the largest collection of abstract expressionist paintings in private hands.","1998","4.03","318","An autobiography of Rabo Karabekian, an abstract expressionist artist, who acquired the largest collection of abstract expressionist paintings in private hands."
"Numerical Recipes in C","The Art of Scientific Computing","William H. Press","C (Computer program language)","http://books.google.com/books/content?id=4t-sybVuoqoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","1992","3.86","336",""
"Vicars of Christ","A History of the Popes","Charles A. Coulombe","Religion","http://books.google.com/books/content?id=4tbYF51StSQC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Tracing the history of the papacy from ancient times to the present day, this illuminating study features detailed profiles of each pope, describing the events of their reign, their role in relation to Catholic doctrine, their accomplishments and failures, and other aspects of each man who ruled the Vatican.","2003","3.97","492","Tracing the history of the papacy from ancient times to the present day, this illuminating study features detailed profiles of each pope, describing the events of their reign, their role in relation t"
"The Odyssey","","Homer","History","http://books.google.com/books/content?id=4tvnoOz-41sC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Also included is a pronunciation glossary and character index.","2005","3.75","472","Also included is a pronunciation glossary and character index."
"AgapÄ“ Agape","","William Gaddis","Fiction","http://books.google.com/books/content?id=4tWIOM7moawC&printsec=frontcover&img=1&zoom=1&source=gbs_api","A dying man lies in bed thinking about how he will write a book and grumbling about the pending fall of civilization, in the final novel by the late, National Book Award-winning author of A Frolic of His Own. Reprint.","2003","3.81","144","A dying man lies in bed thinking about how he will write a book and grumbling about the pending fall of civilization, in the final novel by the late, National Book Award-winning author of A Frolic of "
"Laughter in the Dark","","Vladimir Nabokov;Vladimir Vladimirovich Nabokov;John Banville","Fiction","http://books.google.com/books/content?id=4uj1Dy_P_YQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","Tragedy of a rich and respectable Berlin art dealer and his passion for his young mistress.","1960","3.96","292","Tragedy of a rich and respectable Berlin art dealer and his passion for his young mistress."
"Yanks","The Epic Story of the American Army in World War I","John Eisenhower","History","http://books.google.com/books/content?id=4UjYAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","In the perfect match of subject and author, John S. D. Eisenhower, a noted military historian, presents the definitive account of the birth of the modern Amer- ican army and its decisive role in World War I. With the help of his wife Joanne, Eisenhower captures the viewpoints of the actual participants, blending a narrative told from the perspective of top officers with the stories of average soldiers. Drawing on diaries and memoirs, he brings each engagement to life, from the initial planning to the actual battlefield experiences of soldiers whose exploits at Belleau Woods and along the Meuse-Argonne would become the stuff of legend. Along the way, he shows how General Pershing and other leaders -- including George Marshall, Douglas MacArthur, George Patton, Billy Mitchell, and Peyton March -- transformed the American Expeditionary Force from a small, underequipped force into a strong, efficient, and effective army. Fast-paced, lively, and engaging, Yanks illuminates the central role of the American army in turning the tide in the biggest war the world had ever known.","2002","3.69","368","In the perfect match of subject and author, John S. D. Eisenhower, a noted military historian, presents the definitive account of the birth of the modern Amer- ican army and its decisive role in World"
"Seven Gothic Tales","","Isak Dinesen","Fiction","http://books.google.com/books/content?id=4uKAnVKabtsC&printsec=frontcover&img=1&zoom=1&source=gbs_api","A selection of stories about romantics, adventurers and dreamers, ranging from Tuscany to Elisnore and Zanzibar: a jealous countess cannot bear her husband to admire her jewels; an Englishman embarks on an odyssey; a maiden lady believes herself to be a famous courtesan; and more.","2002","3.94","368","A selection of stories about romantics, adventurers and dreamers, ranging from Tuscany to Elisnore and Zanzibar: a jealous countess cannot bear her husband to admire her jewels; an Englishman embarks "
"Debt of Bones","","Terry Goodkind","Fiction","http://books.google.com/books/content?id=4V0NmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","A milestone of storytelling set in the world of The Sword of Truth, Debt of Bones is the story of young Abby's struggle to win the aid of the wizard Zedd Zorander, the most important man alive. Abby is trapped, not only between both sides of the war, but in a mortal conflict between two powerful men. For Zedd, who commands power most men can only imagine, granting Abby's request would mean forsaking his sacred duty. With the storm of the final battle about to break, both Abby and Zedd are caught in a desperate fight to save the life of a child...but neither can escape the shadow of an ancient betrayal. With time running out, their only choice may be a debt of bones. The world-for Zedd, for Abby, for everyone-will never again be the same. Discover why millions of readers the world over have elevated Terry Goodkind to the ranks of legend.","2004","3.86","160","A milestone of storytelling set in the world of The Sword of Truth, Debt of Bones is the story of young Abby's struggle to win the aid of the wizard Zedd Zorander, the most important man alive. Abby i"
"Gossamer","","Lois Lowry","Juvenile Fiction","http://books.google.com/books/content?id=4vJZmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","While learning to bestow dreams, a young dream giver tries to save an eight-year-old boy from the effects of both his abusive past and the nightmares inflicted on him by the frightening Sinisteeds. 100,000 first printing.","2006","3.89","144","While learning to bestow dreams, a young dream giver tries to save an eight-year-old boy from the effects of both his abusive past and the nightmares inflicted on him by the frightening Sinisteeds. 10"
"White Widow","","Jim Lehrer","Fiction","http://books.google.com/books/content?id=4vs4swEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Praised by the New York Times Book Review as ""an...affecting morality tale,"" Jim Lehrer's devastating White Widow brings the reader to the brink of one man's unstoppable, ruinous passion for a complete stranger. Jack T. Oliver has a solid marriage, a cozy house in Corpus Christi, and a job he loves as a driver for the Great Western Trailways bus line. In a few weeks, Jack is going to be promoted to Master Operator in recognition of his years of perfect service and on-time driving. It's a good life. Until a White Widow boards his bus, on a one-way ticket from Victoria to Corpus Christi. A White Widow is a wild card, a woman traveling alone who can change the course of a driver's life, and not always for the best. What happens when Jack Oliver's White Widow passes through his life is as unforgettable as it is irrevocable. Within weeks, without ever even learning her name, he will fall passionately in loveâ€”and lose everything he has, a few things he never had, and some he never thought about until they were gone.","2000","3.01","224","Praised by the New York Times Book Review as ""an...affecting morality tale,"" Jim Lehrer's devastating White Widow brings the reader to the brink of one man's unstoppable, ruinous passion for a complet"
